ENSPFO	Poecilia formosa (Amazon molly)
ENSJJA	Jaculus jaculus (Lesser Egyptian jerboa)
ENSPCO	Propithecus coquereli (Coquerel's sifaka)
ENSNGA	Nannospalax galili (Upper Galilee mountains blind mole rat)
ENSMFA	Macaca fascicularis (Crab-eating macaque)
ENSMIC	Microcebus murinus (Mouse Lemur)
MGP_CAROLIEiJ_	Mus caroli (Ryukyu mouse)
ENSFAL	Ficedula albicollis (Flycatcher)
ENSCLA	Chinchilla lanigera (Long-tailed chinchilla)
ENSPEM	Peromyscus maniculatus bairdii (Northern American deer mouse)
ENSTNI	Tetraodon nigroviridis (Tetraodon)
ENSMLU	Myotis lucifugus (Microbat)
ENSPPY	Pongo abelii (Orangutan)
ENS	Homo sapiens (Human)
ENSRBI	Rhinopithecus bieti (Black snub-nosed monkey)
ENSCAF	Canis lupus familiaris (Dog)
ENSTRU	Takifugu rubripes (Fugu)
ENSCAP	Cavia aperea (Brazilian guinea pig)
ENSGMO	Gadus morhua (Cod)
ENSPSI	Pelodiscus sinensis (Chinese softshell turtle)
ENSTBE	Tupaia belangeri (Tree Shrew)
ENSMAU	Mesocricetus auratus (Golden Hamster)
ENSCEL	Caenorhabditis elegans (Caenorhabditis elegans)
MGP_DBA2J_	Mus musculus (Mouse DBA/2J)
ENSVPA	Vicugna pacos (Alpaca)
ENSSBO	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
ENSCGR	Cricetulus griseus (Chinese hamster CHOK1GS)
ENSTTR	Tursiops truncatus (Dolphin)
ENSLAF	Loxodonta africana (Elephant)
MGP_LPJ_	Mus musculus (Mouse LP/J)
MGP_SPRETEiJ_	Mus spretus (Algerian mouse)
ENSSTO	Ictidomys tridecemlineatus (Squirrel)
MGP_PahariEiJ_	Mus pahari (Shrew mouse)
ENSCPO	Cavia porcellus (Guinea Pig)
ENSCJA	Callithrix jacchus (Marmoset)
ENSAPL	Anas platyrhynchos (Duck)
ENSHGLM	Heterocephalus glaber (Naked mole-rat male)
ENSPVA	Pteropus vampyrus (Megabat)
ENSTSY	Carlito syrichta (Tarsier)
ENSCSA	Chlorocebus sabaeus (Vervet-AGM)
ENSFCA	Felis catus (Cat)
ENSBTA	Bos taurus (Cow)
ENSSCE	Saccharomyces cerevisiae (Saccharomyces cerevisiae)
ENSMNE	Macaca nemestrina (Pig-tailed macaque)
ENSACA	Anolis carolinensis (Anole lizard)
MGP_AKRJ_	Mus musculus (Mouse AKR/J)
ENSPAN	Papio anubis (Olive baboon)
ENSMPU	Mustela putorius furo (Ferret)
ENSHGLF	Heterocephalus glaber (Naked mole-rat female)
ENSMLE	Mandrillus leucophaeus (Drill)
ENSCHO	Choloepus hoffmanni (Sloth)
ENSRNO	Rattus norvegicus (Rat)
MGP_CASTEiJ_	Mus musculus castaneus (Mouse CAST/EiJ)
ENSOGA	Otolemur garnettii (Bushbaby)
ENSOAN	Ornithorhynchus anatinus (Platypus)
ENSSSC	Sus scrofa (Pig)
ENSCAT	Cercocebus atys (Sooty mangabey)
ENSOPR	Ochotona princeps (Pika)
ENSORL	Oryzias latipes (Medaka)
ENSCAN	Colobus angolensis palliatus (Angola colobus)
ENSPCA	Procavia capensis (Hyrax)
ENSMGA	Meleagris gallopavo (Turkey)
ENSNLE	Nomascus leucogenys (Gibbon)
ENSAME	Ailuropoda melanoleuca (Panda)
MGP_CBAJ_	Mus musculus (Mouse CBA/J)
ENSCSAV	Ciona savignyi
MGP_NZOHlLtJ_	Mus musculus (Mouse NZO/HlLtJ)
ENSPPA	Pan paniscus (Bonobo)
ENSTGU	Taeniopygia guttata (Zebra Finch)
ENSAMX	Astyanax mexicanus (Cave fish)
MGP_C3HHeJ_	Mus musculus (Mouse C3H/HeJ)
ENSGAL	Gallus gallus (Chicken)
ENSEEU	Erinaceus europaeus (Hedgehog)
ENSGAC	Gasterosteus aculeatus (Stickleback)
ENSDAR	Danio rerio (Zebrafish)
ENSDOR	Dipodomys ordii (Kangaroo rat)
